signal_date,symbol,name,rank,score,target_weight,regime,target_exposure,mom_12_1,mom_6_1,trend,volatility,avg_amount_20,planned_execution_date
2018-01-31,000022.SZ,DEMO21,1,1.3769369785926306,0.01908859499133519,RISK_OFF,0.3,0.3196485435129215,0.30188224005081077,0.3385722851233346,0.24136325788908078,220521511.185417,2018-02-01
2018-01-31,000016.SZ,DEMO15,2,0.935953050010102,0.02423806644779044,RISK_OFF,0.3,0.22287952176269799,0.20550011407622448,0.09667202375987771,0.19008469531008546,149768105.89047882,2018-02-01
2018-01-31,000030.SZ,DEMO29,3,0.8878632043546415,0.02122128230626338,RISK_OFF,0.3,0.32200156864069784,0.17284746156350717,0.05062015383986118,0.21710683686037338,206125042.87595373,2018-02-01
2018-01-31,600048.SH,DEMO48,4,0.5881536421552099,0.01914037088137692,RISK_OFF,0.3,0.44354051790579185,0.10963380156571012,0.004568009823216146,0.24071035531064966,245063940.0832714,2018-02-01
2018-01-31,600046.SH,DEMO46,5,0.5278085028601658,0.01904508758735713,RISK_OFF,0.3,0.1516257407740058,0.12138407375989546,0.21566159023853193,0.2419146383286967,184323538.16409308,2018-02-01
2018-01-31,600008.SH,DEMO08,6,0.32052279374445836,0.02504815083559989,RISK_OFF,0.3,0.10786201146556462,0.08033141653642195,0.03490761987140778,0.18393714992668078,140321870.20495996,2018-02-01
2018-01-31,000046.SZ,DEMO45,7,0.047780295258979505,0.017848678912933406,RISK_OFF,0.3,0.07798335910433063,0.3457732160147573,0.03934507455342584,0.25813033547795783,124185931.9092805,2018-02-01
2018-01-31,600038.SH,DEMO38,8,0.046662833022590666,0.021202998339823673,RISK_OFF,0.3,0.10802766522927887,0.010754252769686445,0.07087195279001746,0.21729405444419642,151804199.209455,2018-02-01
2018-01-31,600034.SH,DEMO34,9,-0.09555855708244995,0.019510900605127165,RISK_OFF,0.3,0.03482202783022137,0.09369651341161034,0.06325970986793217,0.23613904703215635,161181733.79526782,2018-02-01
2018-01-31,600036.SH,DEMO36,10,-0.4411838464798817,0.01997033340336001,RISK_OFF,0.3,-0.12020547188126829,0.12360831969606689,0.05157355757212412,0.2307064875971813,126393565.77109261,2018-02-01
2018-01-31,600018.SH,DEMO18,11,-0.5889385948896922,0.02105008032677186,RISK_OFF,0.3,-0.09216054779965788,-0.018550568416324853,0.02004096103417119,0.21887258405252855,134827147.84891993,2018-02-01
2018-01-31,000026.SZ,DEMO25,12,-0.6190295103841627,0.02005184349113641,RISK_OFF,0.3,-0.042241769662735074,-0.09299996154421919,0.022866783504671195,0.22976867327288023,138143871.42311245,2018-02-01
2018-01-31,600042.SH,DEMO42,13,-0.8330422101259135,0.017990902781366756,RISK_OFF,0.3,-0.10076847450802107,0.07438448694013244,0.008468811451277647,0.2560897322176424,118750522.3563145,2018-02-01
2018-01-31,600020.SH,DEMO20,14,-0.9649537333645225,0.017566744766507287,RISK_OFF,0.3,-0.15879519394989783,0.07371033977682862,0.018611489154186645,0.26227314945783753,125225687.736154,2018-02-01
2018-01-31,000038.SZ,DEMO37,15,-1.188974847672144,0.01702596432325048,RISK_OFF,0.3,-0.1774905533814749,-0.02581935491067333,0.025696740157400644,0.270603496410608,121010152.61443028,2018-02-01
2018-02-28,000022.SZ,DEMO21,1,1.412727008070133,0.01377029949365481,RISK_OFF,0.3,0.4636117997736655,0.4197128270220103,0.21825594947471783,0.2447976960555766,231628509.53889322,2018-03-01
2018-02-28,600046.SH,DEMO46,2,1.3126401991775336,0.014422991647529864,RISK_OFF,0.3,0.24119907024109422,0.3646075940252498,0.2336648855458845,0.2337197214295891,176883784.70445406,2018-03-01
2018-02-28,000030.SZ,DEMO29,3,1.2997978338734502,0.015474031422890562,RISK_OFF,0.3,0.3345974031767014,0.11321889931353812,0.22466521634501846,0.21784482000310407,215316612.05409282,2018-03-01
2018-02-28,000016.SZ,DEMO15,4,0.7808314580187755,0.01695729906667792,RISK_OFF,0.3,0.1898644938913927,0.13114096749134685,0.05323155860112383,0.19878977051634714,168763928.38502496,2018-03-01
