signal_date,date,attempt,symbol,side,status,reason,shares,price,notional,commission,stamp_duty,transfer_fee,fees
2018-01-31,2018-02-01,1,000016.SZ,BUY,FILLED,,2300.0,10.461848484881378,24062.25151522717,6.015562878806793,0.0,0.24062251515227173,6.256185393959065
2018-01-31,2018-02-01,1,000022.SZ,BUY,FILLED,,1100.0,16.092539671559578,17701.793638715535,5.0,0.0,0.17701793638715538,5.177017936387156
2018-01-31,2018-02-01,1,000026.SZ,BUY,FILLED,,1800.0,10.707742258672756,19273.93606561096,5.0,0.0,0.1927393606561096,5.19273936065611
2018-01-31,2018-02-01,1,000030.SZ,BUY,FILLED,,1500.0,13.53723579982699,20305.853699740484,5.076463424935121,0.0,0.20305853699740486,5.279521961932526
2018-01-31,2018-02-01,1,000038.SZ,BUY,FILLED,,2000.0,8.343186830315286,16686.373660630572,5.0,0.0,0.16686373660630574,5.166863736606306
2018-01-31,2018-02-01,1,000046.SZ,BUY,FILLED,,2100.0,8.21788953954156,17257.568033037274,5.0,0.0,0.17257568033037277,5.172575680330373
2018-01-31,2018-02-01,1,600008.SH,BUY,FILLED,,2500.0,9.945289656774357,24863.22414193589,6.215806035483973,0.0,0.24863224141935894,6.464438276903332
2018-01-31,2018-02-01,1,600018.SH,BUY,FILLED,,2200.0,9.215822633015813,20274.80979263479,5.068702448158698,0.0,0.20274809792634793,5.271450546085045
2018-01-31,2018-02-01,1,600020.SH,BUY,FILLED,,2100.0,8.078843867125373,16965.572120963283,5.0,0.0,0.16965572120963285,5.169655721209633
2018-01-31,2018-02-01,1,600034.SH,BUY,FILLED,,1900.0,10.099905435948353,19189.82032830187,5.0,0.0,0.1918982032830187,5.191898203283019
2018-01-31,2018-02-01,1,600036.SH,BUY,FILLED,,2200.0,8.789255222002705,19336.36148840595,5.0,0.0,0.1933636148840595,5.19336361488406
2018-01-31,2018-02-01,1,600038.SH,BUY,FILLED,,2300.0,9.156522329864169,21060.001358687587,5.2650003396718965,0.0,0.21060001358687588,5.4756003532587725
2018-01-31,2018-02-01,1,600042.SH,BUY,FILLED,,2300.0,7.706386312469103,17724.688518678937,5.0,0.0,0.17724688518678938,5.177246885186789
2018-01-31,2018-02-01,1,600046.SH,BUY,FILLED,,1400.0,12.73010789149291,17822.151048090072,5.0,0.0,0.17822151048090074,5.178221510480901
2018-01-31,2018-02-01,1,600048.SH,BUY,FILLED,,1200.0,14.80852457786621,17770.229493439452,5.0,0.0,0.17770229493439454,5.177702294934394
2018-02-28,2018-03-01,1,000016.SZ,SELL,FILLED,,500.0,10.132619003659366,5066.3095018296835,5.0,2.533154750914842,0.05066309501829684,7.5838178459331385
2018-02-28,2018-03-01,1,000022.SZ,SELL,FILLED,,100.0,15.210713376122849,1521.0713376122849,5.0,0.7605356688061424,0.01521071337612285,5.775746382182265
2018-02-28,2018-03-01,1,000026.SZ,SELL,FILLED,,1800.0,10.258260436478125,18464.868785660623,5.0,9.232434392830312,0.18464868785660624,14.417083080686918
2018-02-28,2018-03-01,1,000030.SZ,SELL,FILLED,,500.0,16.066196470770095,8033.098235385048,5.0,4.016549117692524,0.08033098235385049,9.096880100046373
2018-02-28,2018-03-01,1,000038.SZ,SELL,FILLED,,600.0,8.820444215881645,5292.266529528987,5.0,2.6461332647644937,0.05292266529528988,7.699055930059783
2018-02-28,2018-03-01,1,000046.SZ,SELL,FILLED,,400.0,8.981019293643016,3592.407717457206,5.0,1.796203858728603,0.035924077174572064,6.832127935903175
2018-02-28,2018-03-01,1,600008.SH,SELL,FILLED,,1000.0,11.026764112783905,11026.764112783905,5.0,5.5133820563919524,0.11026764112783906,10.623649697519792
2018-02-28,2018-03-01,1,600018.SH,SELL,FILLED,,600.0,10.352705232561092,6211.623139536656,5.0,3.105811569768328,0.06211623139536656,8.167927801163694
2018-02-28,2018-03-01,1,600020.SH,SELL,FILLED,,400.0,8.290283154405548,3316.1132617622193,5.0,1.6580566308811098,0.03316113261762219,6.691217763498732
2018-02-28,2018-03-01,1,600034.SH,SELL,FILLED,,500.0,11.536661747566159,5768.330873783079,5.0,2.8841654368915397,0.0576833087378308,7.941848745629371
2018-02-28,2018-03-01,1,600036.SH,SELL,FILLED,,600.0,9.049619035691247,5429.771421414748,5.0,2.714885710707374,0.05429771421414749,7.769183424921522
