signal_date,date,attempt,symbol,side,status,reason,target_shares,shares,price,notional,commission,stamp_duty,transfer_fee,fees
2018-01-31,2018-02-01,1,000016.SZ,BUY,FILLED,,2300.0,2300.0,10.461848484881378,24062.25151522717,6.015562878806793,0.0,0.48124503030454346,6.496807909111336
2018-01-31,2018-02-01,1,000022.SZ,BUY,FILLED,,1100.0,1100.0,16.092539671559578,17701.793638715535,5.0,0.0,0.35403587277431076,5.354035872774311
2018-01-31,2018-02-01,1,000026.SZ,BUY,FILLED,,1800.0,1800.0,10.707742258672756,19273.93606561096,5.0,0.0,0.3854787213122192,5.385478721312219
2018-01-31,2018-02-01,1,000030.SZ,BUY,FILLED,,1500.0,1500.0,13.53723579982699,20305.853699740484,5.076463424935121,0.0,0.40611707399480973,5.482580498929931
2018-01-31,2018-02-01,1,000038.SZ,BUY,FILLED,,2000.0,2000.0,8.343186830315286,16686.373660630572,5.0,0.0,0.3337274732126115,5.333727473212612
2018-01-31,2018-02-01,1,000046.SZ,BUY,FILLED,,2100.0,2100.0,8.21788953954156,17257.568033037274,5.0,0.0,0.34515136066074553,5.345151360660745
2018-01-31,2018-02-01,1,600008.SH,BUY,FILLED,,2500.0,2500.0,9.945289656774357,24863.22414193589,6.215806035483973,0.0,0.4972644828387179,6.713070518322691
2018-01-31,2018-02-01,1,600018.SH,BUY,FILLED,,2200.0,2200.0,9.215822633015813,20274.80979263479,5.068702448158698,0.0,0.40549619585269586,5.474198644011394
2018-01-31,2018-02-01,1,600020.SH,BUY,FILLED,,2100.0,2100.0,8.078843867125373,16965.572120963283,5.0,0.0,0.3393114424192657,5.339311442419266
2018-01-31,2018-02-01,1,600034.SH,BUY,FILLED,,1900.0,1900.0,10.099905435948353,19189.82032830187,5.0,0.0,0.3837964065660374,5.383796406566037
2018-01-31,2018-02-01,1,600036.SH,BUY,FILLED,,2200.0,2200.0,8.789255222002705,19336.36148840595,5.0,0.0,0.386727229768119,5.386727229768119
2018-01-31,2018-02-01,1,600038.SH,BUY,FILLED,,2300.0,2300.0,9.156522329864169,21060.001358687587,5.2650003396718965,0.0,0.42120002717375177,5.6862003668456484
2018-01-31,2018-02-01,1,600042.SH,BUY,FILLED,,2300.0,2300.0,7.706386312469103,17724.688518678937,5.0,0.0,0.35449377037357876,5.354493770373579
2018-01-31,2018-02-01,1,600046.SH,BUY,FILLED,,1500.0,1500.0,12.73010789149291,19095.161837239364,5.0,0.0,0.3819032367447873,5.381903236744788
2018-01-31,2018-02-01,1,600048.SH,BUY,FILLED,,1200.0,1200.0,14.80852457786621,17770.229493439452,5.0,0.0,0.3554045898687891,5.355404589868789
2018-02-28,2018-03-01,1,000016.SZ,SELL,FILLED,,1600.0,700.0,10.132619003659366,7092.833302561557,5.0,7.092833302561557,0.14185666605123115,12.234689968612788
2018-02-28,2018-03-01,1,000022.SZ,SELL,FILLED,,900.0,200.0,15.210713376122849,3042.1426752245698,5.0,3.0421426752245697,0.0608428535044914,8.10298552872906
2018-02-28,2018-03-01,1,000026.SZ,SELL,FILLED,,0.0,1800.0,10.258260436478125,18464.868785660623,5.0,18.464868785660624,0.3692973757132125,23.834166161373837
2018-02-28,2018-03-01,1,000030.SZ,SELL,FILLED,,900.0,600.0,16.066196470770095,9639.717882462057,5.0,9.639717882462056,0.19279435764924116,14.832512240111297
2018-02-28,2018-03-01,1,000038.SZ,SELL,FILLED,,1300.0,700.0,8.820444215881645,6174.3109511171515,5.0,6.1743109511171514,0.12348621902234304,11.297797170139495
2018-02-28,2018-03-01,1,000046.SZ,SELL,FILLED,,1600.0,500.0,8.981019293643016,4490.509646821508,5.0,4.490509646821508,0.08981019293643017,9.580319839757937
2018-02-28,2018-03-01,1,600008.SH,SELL,FILLED,,1400.0,1100.0,11.026764112783905,12129.440524062295,5.0,12.129440524062295,0.24258881048124592,17.37202933454354
2018-02-28,2018-03-01,1,600018.SH,SELL,FILLED,,1500.0,700.0,10.352705232561092,7246.893662792765,5.0,7.246893662792766,0.1449378732558553,12.39183153604862
2018-02-28,2018-03-01,1,600020.SH,SELL,FILLED,,1600.0,500.0,8.290283154405548,4145.141577202774,5.0,4.145141577202774,0.08290283154405549,9.228044408746829
2018-02-28,2018-03-01,1,600034.SH,SELL,FILLED,,1300.0,600.0,11.536661747566159,6921.997048539695,5.0,6.921997048539695,0.13843994097079393,12.060436989510489
2018-02-28,2018-03-01,1,600036.SH,SELL,FILLED,,1600.0,600.0,9.049619035691247,5429.771421414748,5.0,5.429771421414748,0.10859542842829498,10.538366849843044
2018-02-28,2018-03-01,1,600038.SH,SELL,FILLED,,1500.0,800.0,9.908042160896988,7926.43372871759,5.0,7.9264337287175906,0.15852867457435182,13.084962403291943
2018-02-28,2018-03-01,1,600042.SH,SELL,FILLED,,1500.0,800.0,8.502198968132792,6801.759174506234,5.0,6.801759174506234,0.1360351834901247,11.937794357996358
2018-02-28,2018-03-01,1,600046.SH,SELL,FILLED,,1100.0,400.0,13.244723980545215,5297.889592218086,5.0,5.297889592218087,0.10595779184436174,10.403847384062448
2018-02-28,2018-03-01,1,600048.SH,SELL,FILLED,,900.0,300.0,14.832960903005148,4449.888270901544,5.0,4.449888270901544,0.0889977654180309,9.538886036319575
2018-02-28,2018-03-01,1,000004.SZ,BUY,FILLED,,1900.0,1900.0,8.6564881613908,16447.327506642523,5.0,0.0,0.3289465501328505,5.328946550132851
2018-02-28,2018-03-01,1,000006.SZ,BUY,FILLED,,1900.0,1900.0,8.299570490493169,15769.183931937021,5.0,0.0,0.31538367863874045,5.3153836786387405
2018-02-28,2018-03-01,1,000008.SZ,BUY,FILLED,,2300.0,2300.0,8.258983561865756,18995.662192291238,5.0,0.0,0.3799132438458248,5.379913243845825
2018-02-28,2018-03-01,1,600000.SH,BUY,FILLED,,1800.0,1800.0,8.880181989728733,15984.32758151172,5.0,0.0,0.3196865516302344,5.319686551630235
2018-02-28,2018-03-01,1,600004.SH,BUY,FILLED,,2100.0,2100.0,7.731247119810817,16235.618951602715,5.0,0.0,0.32471237903205435,5.3247123790320545
2018-02-28,2018-03-01,1,600010.SH,BUY,FILLED,,1400.0,1400.0,10.164644770615189,14230.502678861263,5.0,0.0,0.2846100535772253,5.284610053577225
2018-03-30,2018-04-02,1,000006.SZ,SELL,FILLED,,1800.0,100.0,8.68378887334819,868.378887334819,5.0,0.8683788873348189,0.01736757774669638,5.885746465081516
2018-03-30,2018-04-02,1,000008.SZ,SELL,FILLED,,0.0,2300.0,7.342180707156799,16887.015626460638,5.0,16.887015626460638,0.33774031252921277,22.22475593898985
2018-03-30,2018-04-02,1,000016.SZ,SELL,FILLED,,0.0,1600.0,9.092734640874658,14548.375425399454,5.0,14.548375425399454,0.2909675085079891,19.839342933907442
2018-03-30,2018-04-02,1,000038.SZ,SELL,FILLED,,1200.0,100.0,9.048255702904562,904.8255702904562,5.0,0.9048255702904562,0.018096511405809125,5.9229220816962656
2018-03-30,2018-04-02,1,600004.SH,SELL,FILLED,,0.0,2100.0,6.721163067167524,14114.4424410518,5.0,14.1144424410518,0.28228884882103605,19.396731289872836
2018-03-30,2018-04-02,1,600008.SH,SELL,FILLED,,1300.0,100.0,10.626157478750022,1062.6157478750022,5.0,1.0626157478750022,0.021252314957500046,6.083868062832503
2018-03-30,2018-04-02,1,600018.SH,SELL,FILLED,,1300.0,200.0,10.809450620235728,2161.8901240471455,5.0,2.1618901240471455,0.043237802480942916,7.205127926528088
2018-03-30,2018-04-02,1,600034.SH,SELL,FILLED,,1200.0,100.0,11.17245043792412,1117.245043792412,5.0,1.117245043792412,0.022344900875848242,6.13958994466826
2018-03-30,2018-04-02,1,000014.SZ,BUY,FILLED,,1900.0,1900.0,9.773830662158936,18570.27825810198,5.0,0.0,0.3714055651620396,5.371405565162039
2018-03-30,2018-04-02,1,000032.SZ,BUY,FILLED,,1400.0,1400.0,10.055048376494408,14077.067727092171,5.0,0.0,0.2815413545418434,5.281541354541844
2018-03-30,2018-04-02,1,600010.SH,BUY,FILLED,,1600.0,200.0,9.284644841396714,1856.9289682793428,5.0,0.0,0.03713857936558686,5.037138579365587
2018-03-30,2018-04-02,1,600020.SH,BUY,FILLED,,1700.0,100.0,8.040610044437882,804.0610044437882,5.0,0.0,0.016081220088875765,5.016081220088876
2018-03-30,2018-04-02,1,600028.SH,BUY,FILLED,,1700.0,1700.0,8.757248857006244,14887.323056910614,5.0,0.0,0.2977464611382123,5.297746461138212
2018-03-30,2018-04-02,1,600036.SH,BUY,FILLED,,1700.0,100.0,9.092582759736823,909.2582759736823,5.0,0.0,0.018185165519473648,5.018185165519474
2018-03-30,2018-04-02,1,600038.SH,BUY,FILLED,,1600.0,100.0,9.400575028523773,940.0575028523773,5.0,0.0,0.018801150057047546,5.0188011500570475
2018-03-30,2018-04-02,1,600042.SH,BUY,FILLED,,1700.0,200.0,8.375849742892248,1675.1699485784495,5.0,0.0,0.033503398971568996,5.033503398971569
